Title,Address,Review,Rank,Price,Style
Sam LaGrassa's,"44 Province St,Boston, MA 02108-5120",4.5,第 1,$$ - $$$,"美式料理, 快餐, 湯品"
Monica’s Mercato & Salumeria,"130 Salem St,Boston, MA 02113-1764",5,第 2,$,"義式料理, 提供素食選擇, 提供純素選擇"
Italian Express Pizzeria,"336 Sumner St,Boston, MA 02128-2124",4.5,第 3,$$ - $$$,"義式料理, 披薩, 提供素食選擇"
Salumeria Italiana,"151 Richmond St,Boston, MA 02109-1414",4.5,第 4,$$ - $$$,"義式料理, 提供素食選擇"
Ostra,"1 Charles St S,Boston, MA 02116-5447",4.5,第 5,$$$$,"海鮮, 提供素食選擇, 提供純素選擇"
Mario's Restaurant,"347 Chelsea St,Boston, MA 02128-1480",4.5,第 6,$$ - $$$,"義式料理, 提供素食選擇, 提供無麩質選擇"
Delfino Restaurant,"754 South St,Boston, MA 02131-1740",4.5,第 7,$$ - $$$,"義式料理, 提供素食選擇, 提供純素選擇"
SRV Restaurant,"569 Columbus Ave,Boston, MA 02118-1180",4.5,第 8,$$ - $$$,"義式料理, 歐式料理, 提供素食選擇"
Ma Maison,"272 Cambridge St,Boston, MA 02114-3123",4.5,第 9,$$ - $$$,"法式料理, 歐式料理, 提供素食選擇"
Mistral,"223 Columbus Ave,Boston, MA 02116-5113",4.5,第 10,$$$$,"法式料理, 歐式料理, 提供素食選擇"
Carlo's Cucina Italiana,"131 Brighton Ave,Boston, MA 02134-2802",4.5,第 11,$$ - $$$,"義式料理, 提供素食選擇, 提供純素選擇"
James Hook & Company,"440 Atlantic Ave,Boston, MA 02110",4.5,第 12,$$ - $$$,"美式料理, 海鮮, 湯品"
North Street Grille,"229 North St,Boston, MA 02113-2105",4.5,第 13,$$ - $$$,"美式料理, 提供素食選擇, 提供純素選擇"
La Summa Cantina Italiana,"30 Fleet St,Boston, MA 02113-2017",4.5,第 14,$$ - $$$,"義式料理, 提供素食選擇, 提供純素選擇"
Davio's,"75 Arlington St,Boston, MA 02136-3003",4.5,第 15,$$$$,"義式料理, 美式料理, 提供素食選擇"
Mike & Patty's,"12 Church St,Boston, MA 02116-5514",4.5,第 16,$,"美式料理, 提供素食選擇, 提供純素選擇"
Regina Pizzeria,"11 1/2 Thacher St,Boston, MA 02113-1539",4.5,第 17,$,"義式料理, 披薩, 提供素食選擇"
The Capital Grille,"900 Boylston St,Boston, MA 02115-3101",4.5,第 18,$$$$,"美式料理, 牛排, 提供素食選擇"
Sorellina,"1 Huntington Ave,Boston, MA 02116-5713",4.5,第 19,$$$$,"義式料理, 提供素食選擇, 提供純素選擇"
O Ya,"9 East St,Boston, MA 02111-2849",4.5,第 20,$$$$,"日式料理, 壽司, 亞洲料理"
Mamma Maria,"3 North Sq,Boston, MA 02113-2404",4.5,第 21,$$$$,"義式料理, 現代創意料理, 提供素食選擇"
Rino's Place,"258 Saratoga St,Boston, MA 02128-1616",4.5,第 22,$$ - $$$,"義式料理, 提供素食選擇"
Galleria Umberto,"289 Hanover St,Boston, MA 02113-1810",4.5,第 23,$,"義式料理, 披薩, 快餐"
Toro,"1704 Washington St,Boston, MA 02118-3307",4.5,第 24,$$ - $$$,"西班牙料理, 提供素食選擇, 提供純素選擇"
B & G Oysters,"550 Tremont St,Boston, MA 02116-6314",4.5,第 25,$$ - $$$,"美式料理, 海鮮, 提供無麩質選擇"
Parish Cafe,"361 Boylston St,Boston, MA 02116-3303",4.5,第 26,$$ - $$$,"美式料理, 酒吧, 咖啡廳"
Brewer's Fork,"7 Moulton St,Boston, MA 02129-3115",4.5,第 27,$$ - $$$,"美式料理, 酒吧, 披薩"
Deuxave,"371 Commonwealth Ave,Boston, MA 02115-1811",4.5,第 28,$$$$,"法式料理, 現代創意料理, 提供素食選擇"
Barcelona,"525 Tremont St,Boston, MA 02116-6306",4.5,第 29,$$ - $$$,"地中海料理, 歐式料理, 西班牙料理"
Menton,"354 Congress St,Boston, MA 02210-1295",4.5,第 30,$$$$,"法式料理, 提供素食選擇, 提供無麩質選擇"
